"title","description","requirements","company_profile","location","salary_range","employment_type","industry","benefits","fraudulent"
"Network Engineer","Anda bertanggung jawab mengelola performa dan keamanan jaringan kantor serta cabang. Tugas meliputi konfigurasi router switch monitoring latency dan perencanaan kapasitas.

Skill yang dibutuhkan adalah TCP IP, VLAN, firewall, network monitoring. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","TCP IP, VLAN, firewall, network monitoring","PT Jaringan Prima Nusantara","Bekasi","IDR 10000000-17000000","kontrak","IT","bpjs|uang lembur|tunjangan transport","1"
"Cybersecurity Analyst","Peran ini bertanggung jawab memantau ancaman keamanan dan menindaklanjuti temuan kerentanan. Anda melakukan analisis log investigasi insiden dan menyusun rekomendasi mitigasi.

Skill yang dibutuhkan adalah SIEM, vulnerability assessment, incident response, security baseline. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","SIEM, vulnerability assessment, incident response, security baseline","PT Benteng Siber Indonesia","Jakarta Selatan","IDR 13000000-21000000","full-time","IT","bpjs|asuransi kesehatan|training & sertifikasi","1"
"Mobile Developer Android","Anda bertanggung jawab membangun fitur aplikasi Android dari perencanaan hingga publikasi. Tugas meliputi integrasi API optimasi performa serta perbaikan bug dari masukan pengguna.

Skill yang dibutuhkan adalah Kotlin, Android SDK, MVVM, API integration. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","Kotlin, Android SDK, MVVM, API integration","PT Mobile Inovasi Nusantara","Semarang","IDR 9500000-15500000","full-time","IT","laptop kantor|bpjs|bonus tahunan","1"
"Mobile Developer iOS","Posisi ini bertanggung jawab mengembangkan aplikasi iOS yang stabil dan ramah pengguna. Anda mengelola modul baru refactor kode lama serta menjaga kompatibilitas versi sistem.

Skill yang dibutuhkan adalah Swift, iOS SDK, SwiftUI, clean architecture. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","Swift, iOS SDK, SwiftUI, clean architecture","PT Awan Aplikasi Seluler","Jakarta Utara","IDR 10000000-16500000","full-time","IT","asuransi kesehatan|bpjs|laptop kantor","1"
"Game Developer Unity","Anda bertanggung jawab membangun mekanik gameplay dan optimasi performa game lintas perangkat. Pekerjaan mencakup implementasi fitur event serta integrasi backend game service.

Skill yang dibutuhkan adalah Unity, C sharp, game optimization, Git. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","Unity, C sharp, game optimization, Git","PT Studio Game Garis Depan","Bandung","IDR 9000000-15000000","freelance","IT","work from home|jam kerja fleksibel|training & sertifikasi","1"
"System Administrator","Peran ini bertanggung jawab menjaga server internal tetap stabil aman dan terpantau. Anda melakukan patching backup rutin serta pemulihan layanan saat gangguan.

Skill yang dibutuhkan adalah Linux administration, shell scripting, backup, server hardening. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","Linux administration, shell scripting, backup, server hardening","PT Server Andal Sejahtera","Surabaya","IDR 9500000-16000000","kontrak","IT","bpjs|uang lembur|asuransi kesehatan","1"
"Cloud Engineer","Anda bertanggung jawab merancang infrastruktur cloud yang hemat biaya dan mudah diskalakan. Tugas utama meliputi provisioning resource observability dan optimasi reliability platform.

Skill yang dibutuhkan adalah AWS, GCP, Terraform, cloud monitoring. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","AWS, GCP, Terraform, cloud monitoring","PT Langit Komputasi Indonesia","Jakarta Pusat","IDR 14000000-23000000","full-time","IT","bpjs|bonus tahunan|training & sertifikasi","1"
"Site Reliability Engineer","Peran ini bertanggung jawab meningkatkan keandalan layanan melalui automasi dan observability. Anda menetapkan SLO memonitor error budget serta memimpin perbaikan pasca insiden.

Skill yang dibutuhkan adalah SRE, observability, incident management, automation. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","SRE, observability, incident management, automation","PT Reliabilitas Sistem Nusantara","Jakarta Selatan","IDR 15000000-24000000","full-time","IT","bpjs|uang lembur|laptop kantor","1"
"Machine Learning Engineer","Anda bertanggung jawab mengubah model machine learning menjadi layanan produksi yang andal. Tugas meliputi deployment model monitoring drift dan perbaikan pipeline inferensi.

Skill yang dibutuhkan adalah Python, MLOps, Docker, model deployment. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","Python, MLOps, Docker, model deployment","PT Cipta Model Cerdas","Bandung","IDR 15000000-25000000","kontrak","IT","training & sertifikasi|bpjs|asuransi kesehatan","1"
"Product Manager Teknologi","Posisi ini bertanggung jawab menyusun prioritas roadmap dan menyelaraskan kebutuhan pengguna dengan target bisnis. Anda memimpin discovery mendefinisikan requirement serta memastikan delivery tepat sasaran.

Skill yang dibutuhkan adalah product discovery, roadmap planning, stakeholder management. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","product discovery, roadmap planning, stakeholder management","PT Produk Digital Maju","Jakarta Barat","IDR 14000000-22000000","full-time","IT","bonus tahunan|cuti berbayar|bpjs","1"
"Business Intelligence Developer","Anda bertanggung jawab membangun model data dan dashboard eksekutif untuk pemantauan KPI. Pekerjaan meliputi data modeling ETL ringan serta validasi akurasi laporan.

Skill yang dibutuhkan adalah SQL, BI tools, data modeling, dashboard development. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","SQL, BI tools, data modeling, dashboard development","PT Insight Bisnis Digital","Jakarta Pusat","IDR 10000000-17000000","full-time","IT","bpjs|work from home|tunjangan makan","1"
"Database Administrator","Peran ini bertanggung jawab menjaga performa database dan keamanan data produksi. Anda menangani backup recovery tuning query serta audit akses secara berkala.

Skill yang dibutuhkan adalah MySQL, PostgreSQL, backup recovery, query tuning. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","MySQL, PostgreSQL, backup recovery, query tuning","PT Basis Data Nusantara","Depok","IDR 12000000-20000000","full-time","IT","bpjs|asuransi kesehatan|laptop kantor","1"
"Technical Support Engineer","Posisi ini bertanggung jawab menangani tiket teknis pelanggan dari analisis hingga resolusi. Anda melakukan troubleshooting API aplikasi serta memberi umpan balik ke tim produk.

Skill yang dibutuhkan adalah technical support, API troubleshooting, SQL basics. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","technical support, API troubleshooting, SQL basics","PT Dukungan Sistem Indonesia","Malang","IDR 7500000-12000000","part-time","IT","uang lembur|tunjangan transport|bpjs","1"
"Full Stack Developer","Anda bertanggung jawab mengembangkan fitur end to end mulai dari antarmuka hingga service backend. Pekerjaan meliputi integrasi database optimasi performa serta pengujian fitur sebelum rilis.

Skill yang dibutuhkan adalah JavaScript, frontend framework, backend API, SQL. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","JavaScript, frontend framework, backend API, SQL","PT Solusi Kode Terpadu","Jakarta Timur","IDR 11000000-18000000","full-time","IT","bpjs|work from home|laptop kantor","1"
"Blockchain Developer","Peran ini bertanggung jawab membangun smart contract dan integrasi aplikasi web3 secara aman. Anda menulis kontrak melakukan audit internal serta membuat dokumentasi teknis implementasi.

Skill yang dibutuhkan adalah Solidity, web3, smart contract security, JavaScript. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","Solidity, web3, smart contract security, JavaScript","PT Rantai Data Nusantara","Jakarta Pusat","IDR 13000000-21000000","freelance","IT","jam kerja fleksibel|work from home|training & sertifikasi","1"
"Embedded Systems Engineer","Anda bertanggung jawab mengembangkan firmware untuk perangkat IoT dan modul sensor. Tugas harian meliputi implementasi driver integrasi protokol serta pengujian stabilitas perangkat.

Skill yang dibutuhkan adalah C, C plus plus, microcontroller, firmware debugging. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","C, C plus plus, microcontroller, firmware debugging","PT Perangkat Cerdas Indonesia","Batam","IDR 10000000-17000000","kontrak","IT","bpjs|tunjangan makan|tunjangan transport","1"
"IT Project Manager","Posisi ini bertanggung jawab memastikan proyek teknologi berjalan sesuai scope waktu dan biaya. Anda memimpin perencanaan resource tracking risiko serta komunikasi status ke stakeholder.

Skill yang dibutuhkan adalah project management, agile delivery, risk management. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","project management, agile delivery, risk management","PT Manajemen Teknologi Prima","Jakarta Barat","IDR 13000000-21000000","full-time","IT","bonus tahunan|cuti berbayar|bpjs","1"
"Automation Test Engineer","Peran ini bertanggung jawab merancang framework testing otomatis untuk mempercepat quality gate rilis. Anda menulis skrip test mengintegrasikan pipeline CI dan memantau hasil regresi.

Skill yang dibutuhkan adalah Selenium, Cypress, test automation, CI integration. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","Selenium, Cypress, test automation, CI integration","PT Otomasi Uji Digital","Bandung","IDR 10000000-16500000","full-time","IT","bpjs|training & sertifikasi|laptop kantor","1"
"ERP Consultant","Anda bertanggung jawab melakukan implementasi modul ERP sesuai kebutuhan operasional klien. Tugas mencakup analisis proses konfigurasi sistem serta pendampingan go live.

Skill yang dibutuhkan adalah ERP implementation, business process mapping, client communication. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","ERP implementation, business process mapping, client communication","PT Integrasi Bisnis Cakrawala","Surabaya","IDR 10000000-17000000","kontrak","IT","bpjs|tunjangan transport|training & sertifikasi","1"
"Volunteer Coding Mentor","Posisi ini bertanggung jawab mendampingi peserta pemula belajar dasar pemrograman secara terstruktur. Anda menyiapkan materi praktik memberikan umpan balik kode dan memfasilitasi sesi tanya jawab.

Skill yang dibutuhkan adalah teaching basics, coding fundamentals, mentoring communication. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","teaching basics, coding fundamentals, mentoring communication","Komunitas Kode Untuk Negeri","Jakarta Pusat","IDR 0-0","voluntary","IT","training & sertifikasi|jam kerja fleksibel|work from home","1"
